hotelId,Hotel_name,Address,City,Latitude,Longitude,Property_type,Room_status,Price,Currency,Rating,Final_rating
OISFDNHR,Premium 052 Jasola Apollo,Kalindi Kunj Road,Unknown,,,hotel,,1949,INR,22,1.1
OILUTIHE,Rooms 270 Nizamuddin Railway Station,Jangpura,Unknown,,,hotel,,1499,INR,16,1.1
OIUUPIHE,Rooms 089 Kalkaji,Chittaranjan Park,Unknown,,,hotel,,2299,INR,23,1.1
OICFNFXM,Rooms 484 IGI Airport Hotel,NH8,Unknown,,,hotel,,1299,INR,104,1.4
OIAPASET,Rooms 126 East of Kailash,Near Nehru Place,Unknown,,,hotel,,1599,INR,410,2.6
OIQABHWZ,Rooms 272 Delhi English School Sector 21 Dwarka,Dwarka Sector 23,Delhi,,,hotel,,1699,INR,879,4.5
OIPOHHAV,Rooms 567 Paharganj,Near R.K. Ashram Metro Station,Unknown,,,hotel,,1449,INR,75,1.3
OIGYALOJ,Rooms 599 Rajguru Road Paharganj 2,"Rajguru Road, Chuna Mandi",Unknown,,,hotel,,1449,INR,686,3.7
OIRDSVKA,Rooms 300 IGI Airport 3,"Behind Prem Maruti Showroom, Mahipalpur",Unknown,,,hotel,,1349,INR,588,3.4
OIXNSJLS,Rooms 641 Sector 7 Palam Extension,"Sector 7, Near Shree Makhan Sweet, Ramphal Chowk",Unknown,,,hotel,,1599,INR,1875,5.0
OIXVHBSS,Premium 529 Jasola Vihar,"Pocket-2, Jasola",Unknown,,,hotel,,1849,INR,995,5.0
OIKJGRXL,Premium 143 Rajouri Garden Janta Market,Rajouri Garden,Unknown,,,hotel,,1599,INR,1144,5.0
OIPEYBWF,Rooms 565 Airport Travellers Delight,"Street No.7, Near IGI Airport, Mahipalpur",Unknown,,,hotel,,5049,INR,2051,5.0
OIHMQWNB,Premium 220 East Of Kailash Extension,East of Kailash,Unknown,,,hotel,,3899,INR,644,3.6
OIFWMFMW,Rooms 666 Nehru Place,Nehru Enclave,Unknown,,,hotel,,3699,INR,34,1.1
OIKPZFPN,Rooms 350 Delhi Gate,Darya Ganj,Delhi,,,hotel,,3449,INR,664,3.7
OIHVWOLH,Premium 106 Paharganj,Paharganj,Unknown,,,hotel,,1799,INR,119,1.5
OIZOSZOQ,Rooms 044 Patel Nagar Delhi,East Patel Nagar,Delhi,,,hotel,,6099,INR,477,2.9
OISRNTTX,Rooms 671 Dabri Palam Road,Main Mahiveer Enclave in front of Sulabh International Dabri Palam Road,Unknown,,,hotel,,4999,INR,589,3.4
OIBVWRMC,Rooms 553 Paharganj Flyover 1,"D.B. Gupta Road, Paharganj",Unknown,,,hotel,,3849,INR,470,2.9
OINMLSVZ,Rooms 111 Paharganj 54,Paharganj,Unknown,,,hotel,,2349,INR,465,2.9
OIHRLVCC,Rooms 105 Paharganj DB Gupta Road 2,Paharganj,Unknown,,,hotel,,3349,INR,711,3.8
OICCOLEX,Rooms 361 Paharganj,Pahar Ganj,Unknown,,,hotel,,5799,INR,16,1.1
OIWILTRG,Premium 532 GK1 M Block Market 1,Greater Kailash 1,Unknown,,,hotel,,3299,INR,2617,5.0
OIADGGQL,Rooms 027 Karol Bagh 8/41,Karol Bagh,Unknown,,,hotel,,2049,INR,3524,5.0
OIZOLELA,Rooms 358,Jasola,Unknown,,,hotel,,2049,INR,253,2.0
